2;"Что является основной целью Федерального закона от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"Ликвидация чрезвычайных ситуаций, возникших в результате техногенной аварии;Снижение вероятности аварий на опасном производственном объекте и, как следствие, снижение уровня загрязнения окружающей среды при эксплуатации опасных производственных объектов;trueПредупреждение аварий на опасных производственных объектах и обеспечение готовности эксплуатирующих опасные производственные объекты юридических лиц и индивидуальных предпринимателей к локализации и ликвидации последствий указанных аварий;Установление порядка расследования и учета несчастных случаев на опасном производственном объекте"
2;"В каком случае внеплановая выездная проверка может быть проведена незамедлительно с извещением органа прокуратуры без согласования с ним?";"По истечении срока исполнения юридическим лицом, индивидуальным предпринимателем, выданного органом государственного надзора предписания об устранении выявленного нарушения обязательных требований промышленной безопасности;trueПри поступлении в орган государственного надзора обращений от граждан и юридических лиц или органов государственной власти информации о фактах нарушений обязательных требований промышленной безопасности, если они создают угрозу причинения вреда или угрозу возникновения аварий и (или) чрезвычайных ситуаций техногенного характера;По истечении одного года со дня окончания проведения последней плановой проверки организации по соблюдению обязательных требований промышленной безопасности"
2;"Что не является предметом государственного строительного надзора?";"Наличие разрешения на строительство;Выполнение работ по договорам о строительстве, реконструкции, капитальном ремонте объектов капитального строительства, заключенным с застройщиком, техническим заказчиком, лицом, ответственным за эксплуатацию здания, сооружения, региональным оператором, только индивидуальными предпринимателями или юридическими лицами, которые являются членами саморегулируемых организаций в области строительства, реконструкции, капитального ремонта объектов капитального строительства;Соответствие строительных материалов, применяемых в процессе строительства, реконструкции объекта капитального строительства требованиям технических регламентов, проектной документации;trueНаличие декларации промышленной безопасности"
2;"Что из перечисленного не определяется при разработке и проектировании машины и (или) оборудования?";"Допустимый риск для машины и (или) оборудования;trueМетодика измерений и правила отбора образцов, необходимых для применения и исполнения требований ТР ТС 010/2011;Условия безопасной эксплуатации машин и оборудования"
2;"Что обязан сделать лицензиат, если он планирует осуществлять лицензируемую деятельность по адресу, не указанному в лицензии?";"trueПодать заявление в лицензирующий орган о переоформлении лицензии;Подать заявление в лицензирующий орган о выдаче новый лицензии;Направить в лицензирующий орган уведомление о своих намерениях"
2;"Кто является страхователями гражданской ответственности за причинение вреда в результате аварии на опасном производственном объекте?";"Юридические лица и физические лица, заключившие со страховщиками договоры страхования;trueВладельцы опасных производственных объектов (юридические лица или индивидуальные предприниматели), заключившие договор обязательного страхования гражданской ответственности за причинение вреда потерпевшим в результате аварии на опасном объекте;Владельцы опасных производственных объектов, за исключением индивидуальных предпринимателей, заключившие договор обязательного страхования гражданской ответственности за причинение вреда потерпевшим в результате аварии на опасном объекте"
2;"Какой из перечисленных случаев не может являться основанием для исключения объекта из государственного реестра опасных производственных объектов?";"Ликвидация объекта или вывод его из эксплуатации;Утрата объектом признаков опасности;trueГрубое нарушение требований промышленной безопасности при эксплуатации опасного производственного объекта;Изменение критериев отнесения объектов к категории опасных производственных объектов или требований к идентификации опасных производственных объектов"
2;"Какой срок действия планов мероприятий по локализации и ликвидации последствий аварий установлен для объектов I класса опасности (за исключением объектов, на которых ведутся горные работы)?";"1 год;true2 года;3 года;5 лет"
2;"Когда положение о производственном контроле считается принятым?";"trueПосле утверждения его руководителем организации, эксплуатирующей опасные производственные объекты;После утверждения его руководителем организации, эксплуатирующей опасные производственные объекты, и согласования с территориальным органом Ростехнадзора;После утверждения его территориальным органом Ростехнадзора;После утверждения его руководителем организации, эксплуатирующей опасные производственные объекты, и согласования с центральным аппаратом Ростехнадзора"
2;"Какая организация имеет право проводить экспертизу промышленной безопасности?";"Организация, аккредитованная в Федеральной службе по аккредитации на проведение экспертизы промышленной безопасности;Организация, имеющая допуск СРО на проведение экспертизы промышленной безопасности;trueОрганизация, имеющая лицензию на проведение экспертизы промышленной безопасности"
3;"Промышленная безопасность опасных производственных объектов в соответствии с Федеральным законом от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов» - это:";"Состояние защищенности конституционного права граждан Российской Федерации на благоприятную окружающую среду посредством предупреждения негативных воздействий хозяйственной и иной деятельности на окружающую природную среду;Система установленных законом мер, обеспечивающих состояние защищенности жизненно важных интересов личности и общества от аварий на опасных производственных объектах и последствий указанных аварий;trueСостояние защищенности жизненно важных интересов личности и общества от аварий на опасных производственных объектах и последствий указанных аварий;Система установленных законом запретов, ограничений и предписаний по безопасной эксплуатации опасных производственных объектов"
3;"Кто устанавливает порядок осуществления постоянного государственного надзора на опасных производственных объектах I класса опасности?";"Президент Российской Федерации;trueПравительство Российской Федерации;Федеральный орган исполнительной власти в области промышленной безопасности;Субъекты Российской Федерации или органы местного самоуправления, на территории которых эксплуатируется опасный производственный объект"
3;"Кто осуществляет государственный строительный надзор за строительством, реконструкцией объектов капитального строительства, отнесенных Градостроительным кодексом Российской Федерации к особо опасным, технически сложным и уникальным?";"trueФедеральный орган исполнительной власти, уполномоченный на осуществление федерального государственного строительного надзора;Орган исполнительной власти субъекта Российской Федерации, уполномоченный на осуществление регионального государственного строительного надзора;Федеральный орган исполнительной власти, уполномоченный на проведение государственной экспертизы проектной документации, или подведомственные ему государственные (бюджетные или автономные) учреждения"
3;"Что является идентификационным признаком оборудования для работы во взрывоопасных средах?";"Только наличие маркировки взрывозащиты;Только наличие Сертификата взрывозащиты, выданного аккредитованным органом по сертификации;trueНаличие средств обеспечения взрывозащиты, указанных в технической документации изготовителя, и маркировки взрывозащиты, нанесенной на оборудование"
3;"Что обязан сделать лицензиат, если он планирует выполнять работы (оказывать услуги), составляющие лицензируемый вид деятельности и не указанные в лицензии?";"Подать заявление в лицензирующий орган о выдаче новый лицензии;trueПодать заявление в лицензирующий орган о переоформлении лицензии;Направить в лицензирующий орган уведомление о своих намерениях;Направить в лицензирующий орган информацию о наличии экспертов, аттестованных в областях аттестации, соответствующих вновь заявляемым работам (услугам)"
3;"Кто является владельцем опасного объекта в терминологии Федерального закона от 27.07.2010 № 225-ФЗ «Об обязательном страховании гражданской ответственности владельцев опасных объектов за причинение вреда в результате аварии на опасном объекте»?";"Юридическое лицо, владеющее опасным объектом на праве собственности;Юридические лица, владеющие опасным объектом на праве собственности, праве хозяйственного ведения или праве оперативного управления либо на ином законном основании, независимо от того, осуществляют они эксплуатацию опасного производственного объекта или нет;trueЮридическое лицо или индивидуальный предприниматель, владеющие опасным объектом на праве собственности, праве хозяйственного ведения или праве оперативного управления либо на ином законном основании и осуществляющие эксплуатацию опасного объекта"
3;"На каком этапе осуществляется присвоение класса опасности опасному производственному объекту?";"На этапе подготовки проектной документации;На этапе проведения экспертизы промышленной безопасности зданий, сооружений и технических устройств, применяемых на опасном производственном объекте;trueНа этапе его регистрации в государственном реестре опасных производственных объектов;На этапе ввода в эксплуатацию"
3;"Какой срок действия планов мероприятий по локализации и ликвидации последствий аварий установлен для объектов II класса опасности (за исключением объектов, на которых ведутся горные работы)?";"1 год;2 года;true3 года;5 лет"
3;"Кто устанавливает требования к форме предоставления сведений об организации производственного контроля за соблюдением требований промышленной безопасности?";"Правительство Российской Федерации;trueРостехнадзор;Федеральная служба по труду и занятости;Эксплуатирующая организация"
3;"В отношении какого опасного производственного объекта эксперту запрещается участвовать в проведении экспертизы промышленной безопасности?";"В отношении опасных производственных объектах по хранению и уничтожению химического оружия;В отношении объектов, находящихся в государственной собственности;trueВ отношении опасного производственного объекта, принадлежащего на праве собственности или ином законном основании организации, в трудовых отношениях с которой состоит эксперт"
4;"Какое определение соответствует понятию «авария», изложенному в Федеральном законе от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"Отказ или повреждение технических устройств, применяемых на опасном производственном объекте, отклонение от установленного режима технологического процесса;trueРазрушение сооружений и (или) технических устройств, применяемых на опасном производственном объекте, неконтролируемые взрыв и (или) выброс опасных веществ;Контролируемое и (или) неконтролируемое горение, а также взрыв опасного производственного объекта;Нарушение целостности или полное разрушение сооружений и технических устройств опасного производственного объекта при отсутствии взрыва либо выброса опасных веществ"
4;"В понятиях Основ государственной политики по промышленной безопасности промышленная безопасность это:";"Состояние защищенности жизненно важных интересов личности и общества от аварий на опасных производственных объектах и последствий указанных аварий;Комплекс мероприятий, проводимых заблаговременно и направленных на максимально возможное уменьшение риска возникновения аварий, а также на сохранение здоровья людей, снижение размеров ущерба окружающей среде и материальных потерь в случае их возникновения;trueОпределяемое комплексом технических и организационных мер состояние защищенности промышленного объекта, которое характеризуется стабильностью параметров технологического процесса и исключением (сведением к минимуму) опасности возникновения аварии или инцидента, а в случае их возникновения - отсутствием опасности воздействия на людей опасных и вредных факторов и угрозы причинения вреда имуществу юридических и физических лиц, государственному или муниципальному имуществу"
4;"Что входит в обязанности лица, осуществляющего строительство здания или сооружения, в соответствии с законодательством о градостроительной деятельности?";"trueКонтроль за соответствием применяемых строительных материалов и изделий, в том числе строительных материалов, производимых на территории, на которой осуществляется строительство, требованиям проектной документации в течение всего процесса строительства;Наблюдение за производством работ и регистрация действий, противоречащих законодательству о градостроительной деятельности;Наблюдение за производством работ, своевременной доставкой строительных материалов и изделий;Только контроль за качеством применяемых строительных материалов"
4;"Какие виды классификаций оборудования для работы во взрывоопасных средах не устанавливает ТР «О безопасности оборудования для работы во взрывоопасных средах»?";"Классификация взрывоопасных зон;Классификация оборудования по группам (в зависимости от области применения);Классификация оборудования по уровням и видам взрывозащиты;Классификация оборудования по температурным классам;trueКлассификация оборудования по давлению"
4;"В каком нормативном правовом акте установлен порядок принятия решений лицензирующим органом о предоставлении и переоформлении лицензии на деятельность по проведению экспертизы промышленной безопасности?";"trueВ Федеральном законе «О лицензировании отдельных видов деятельности»;В Федеральном законе «О промышленной безопасности опасных производственных объектов»;В постановлении Правительства Российской Федерации «О лицензировании деятельности по проведению экспертизы промышленной безопасности»"
4;"Какие из указанных опасных объектов не относятся к объектам, владельцы которых обязаны осуществлять обязательное страхование?";"Опасные производственные объекты, подлежащие регистрации в государственном реестре;Лифты, подъемные платформы для инвалидов, эскалаторы (за исключением эскалаторов в метрополитенах);Автозаправочные станции жидкого моторного топлива;trueОпасные производственные объекты, расположенные в границах объектов использования атомной энергии;Пассажирские конвейеры (движущиеся пешеходные дорожки)"
4;"В каком из перечисленных случаев при внесении изменений в государственный реестр объекту присваивается иной регистрационный номер?";"trueПри внесении изменений в государственный реестр, связанных с исключением опасного производственного объекта в связи со сменой эксплуатирующей организации;При изменении только количественного состава технического устройства опасного производственного объекта;При изменении только качественного состава технического устройства опасного производственного объекта;При изменении количественного и качественного состава технического устройства опасного производственного объекта"
4;"Какой срок действия планов мероприятий по локализации и ликвидации последствий аварий установлен для объектов III класса опасности (за исключением объектов, на которых ведутся горные работы)?";"1 год;2 года;3 года;true5 лет"
4;"В какие сроки эксплуатирующая организация представляет в Ростехнадзор или его территориальные органы сведения об организации производственного контроля за соблюдением требований промышленной безопасности?";"Ежегодно, в течение I квартала текущего года;trueЕжегодно, до 1 апреля соответствующего календарного года;Раз в полгода, не позднее 15 числа месяца, следующего за отчетным периодом;Ежегодно, не позднее 1 февраля текущего года"
4;"Какими нормативными правовыми актами устанавливаются требования к проведению экспертизы промышленной безопасности и к оформлению заключения экспертизы промышленной безопасности?";"Постановлениями Правительства Российской Федерации;Федеральными законами;trueФедеральными нормами и правилами в области промышленной безопасности;Стандартами саморегулируемых организаций в области экспертизы промышленной безопасности"
5;"Что входит в понятие «инцидент» в соответствии с Федеральным законом от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"trueОтказ или повреждение технических устройств, применяемых на опасном производственном объекте, отклонение от установленного режима технологического процесса;Разрушение сооружений и (или) технических устройств, применяемых на опасном производственном объекте, неконтролируемые взрыв и (или) выброс опасных веществ, при которых нет пострадавших;Контролируемое и (или) неконтролируемое горение, а также взрыв опасного производственного объекта, не сопровождающиеся выбросом в окружающую среду опасных веществ;Нарушение целостности или полное разрушение сооружений и технических устройств опасного производственного объекта при отсутствии взрыва либо выброса опасных веществ"
5;"В понятиях Основ государственной политики по промышленной безопасности промышленный объект это:";"Юридическое лицо, осуществляющее предпринимательскую деятельность в сфере промышленности;trueПредприятие, его цеха, участки, площадки, используемые для осуществления деятельности в сфере промышленности;Предприятия или их цеха, участки, площадки, а также иные производственные объекты, обладающие признаками опасности"
5;"Каким образом должна обеспечиваться безопасность здания или сооружения в процессе эксплуатации?";"Только посредством мониторинга состояния основания;Только посредством периодических осмотров строительных конструкций;Только посредством технического обслуживания систем инженерно-технического обеспечения;Только посредством проведения экспертизы промышленной безопасности;trueПосредством проведения всех перечисленных мероприятий, включая проведение текущих ремонтов здания или сооружения"
5;"В каких законах устанавливаются виды деятельности, подлежащие лицензированию в области промышленной безопасности?";"trueТолько в Федеральном законе от 04.05.2011 № 99-ФЗ «О лицензировании отдельных видов деятельности»;Только в Федеральном законе от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»;В Федеральном законе от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов» и Федеральном законе от 4 мая 2011 г. № 99-ФЗ «О лицензировании отдельных видов деятельности»;В Федеральном законе от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов», Федеральном законе от 04.05.2011 № 99-ФЗ «О лицензировании отдельных видов деятельности» и Федеральном законе от 21.12.1994 № 68-ФЗ «О защите населения и территорий от чрезвычайных ситуаций природного и техногенного характера»"
5;"Какими нормативными правовыми актами устанавливаются требования к порядку осуществления лицензионного контроля за соблюдением лицензионных требований при осуществлении деятельности по проведению экспертизы промышленной безопасности?";"trueФедеральным законом «О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля» и Федеральным законом «О лицензировании отдельных видов деятельности»;Исключительно Федеральным законом «О лицензировании отдельных видов деятельности»;Федеральным законом «О лицензировании отдельных видов деятельности» и постановлением Правительства Российской Федерации «О лицензировании деятельности по проведению экспертизы промышленной безопасности»"
5;"Кому вменена обязанность страховать свою ответственность за причинение вреда в результате аварии на опасном объекте в соответствии с Федеральным законом от 27.07.2010 № 225-ФЗ «Об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте»?";"Эксплуатирующим организациям независимо от того, являются они владельцами опасного объекта или нет;Проектным организациям;trueВладельцам опасного объекта;Экспертным организациям"
5;"В каких случаях из перечисленных регистрирующим органом вносятся изменения в государственный реестр?";"Только при изменении адреса места нахождения опасного производственного объекта;Только при изменении сведений об эксплуатирующей организации, собственнике опасного производственного объекта и/или сведений, указанных эксплуатирующей организацией в заявлении о регистрации опасного производственного объекта в государственном реестре;Только при изменении сведений, связанных с исключением опасного производственного объекта в связи со сменой эксплуатирующей организации;trueВо всех перечисленных случаях"
5;"Когда план мероприятий по локализации и ликвидации последствий аварий считается принятым?";"После утверждения руководителем организации, эксплуатирующей опасные производственные объекты, или руководителями обособленных подразделений;После утверждения руководителем организации, эксплуатирующей опасные производственные объекты, или руководителями обособленных подразделений и согласования с органами Ростехнадзора;trueПосле утверждения руководителем организации, эксплуатирующей опасные производственные объекты, или руководителями обособленных подразделений и согласования с руководителями профессиональных аварийно-спасательных служб или профессиональных аварийно-спасательных формирований"
5;"В каком документе установлен перечень сведений об организации производственного контроля за соблюдением требований промышленной безопасности, направляемых эксплуатирующей организацией в Ростехнадзор?";"В Федеральном законе «О промышленной безопасности опасных производственных объектов»;trueВ Правилах организации и осуществления производственного контроля за соблюдением требований промышленной безопасности;В Общих правилах промышленной безопасности для организаций, осуществляющих деятельность в области промышленной безопасности опасных производственных объектов;Во всех перечисленных документах"
5;"После прохождения каких процедур заключение экспертизы промышленной безопасности может быть использовано в целях, установленных Федеральным законом от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"Сразу после подписания заключения экспертизы руководителем экспертной организации и экспертами, проводившими экспертизу;После утверждения заключения экспертизы промышленной безопасности в органах Ростехнадзора;trueПосле подписания заключения экспертизы руководителем экспертной организации и экспертами, проводившими экспертизу, и внесения его в реестр заключений экспертизы промышленной безопасности"
6;"На какие организации распространяются нормы Федерального закона от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"trueНа все организации независимо от их организационно-правовых форм и форм собственности, осуществляющие деятельность в области промышленной безопасности опасных производственных объектов на территории Российской Федерации и на иных территориях, над которыми Российская Федерация осуществляет юрисдикцию в соответствии с законодательством Российской Федерации и нормами международного права;На все организации независимо от их организационно-правовых форм и форм собственности, осуществляющие деятельность в области промышленной безопасности опасных производственных объектов только на территории Российской Федерации;На государственные и негосударственные некоммерческие организации, эксплуатирующие опасные производственные объекты в порядке, установленном законодательством Российской Федерации;На все коммерческие организации независимо от форм осуществления деятельности в области промышленной безопасности опасных производственных объектов"
6;"Что из перечисленного не относится к целям государственной политики в области промышленной безопасности в соответствии с Основами государственной политики в области промышленной безопасности?";"Предупреждение аварий и инцидентов на промышленных объектах;Решение правовых, экономических и социальных задач, направленных на обеспечение роста промышленного производства;trueУменьшение риска возникновения чрезвычайных ситуаций, а также сохранение здоровья людей, снижение размеров ущерба окружающей среде и материальных потерь в случае их возникновения;Реализация конституционных прав граждан на труд в условиях, отвечающих требованиям безопасности, на благоприятную окружающую среду"
6;"Кто должен принять меры, предупреждающие причинение вреда населению и окружающей среде, при прекращении эксплуатации здания или сооружения согласно Техническому регламенту о безопасности зданий и сооружений?";"Организация, эксплуатирующая здание и сооружение;Представители территориального органа Ростехнадзора;Организация, проводящая экспертизу промышленной безопасности;trueСобственник здания или сооружения"
6;"Как называется один из видов деятельности в области промышленной безопасности, подлежащий лицензированию в соответствии с Федеральным законом от 04.05.2011 № 99-ФЗ «О лицензировании отдельных видов деятельности»?";"Эксплуатация взрывопожароопасных и химически опасных производственных объектов всех классов опасности;trueЭксплуатация взрывопожароопасных и химически опасных производственных объектов I, II и III классов опасности;Эксплуатация химически опасных производственных объектов;Эксплуатация взрывопожароопасных производственных объектов"
6;"Взимается ли плата за предоставление или переоформление лицензии и выдачу дубликата лицензии, если да, то в соответствии с каким законодательством?";"trueДа, в соответствии с законодательством о налогах и сборах;Да, в соответствии с законодательством о лицензировании;Нет"
6;"Каков размер страховой выплаты за вред, причиненный здоровью каждого потерпевшего в результате аварии на опасном производственном объекте?";"Не более 500 тысяч рублей;Не более 360 тысяч рублей;Не более 200 тысяч рублей;trueНе более 2 миллионов рублей"
6;"В какой срок при изменении сведений об опасном производственном объекте, указанных эксплуатирующей организацией в заявлении о регистрации опасного производственного объекта в государственном реестре, эксплуатирующая организация должна представить в регистрирующий орган заявление о внесении изменений с приложением документов, подтверждающих наличие оснований для внесения изменений?";"trueВ течение 10 (десяти) рабочих дней со дня наступления указанных изменений;В течение 20 (двадцати) рабочих дней со дня наступления указанных изменений;В течение 15 (пятнадцати) рабочих дней со дня наступления указанных изменений;В течение 5 (пяти) рабочих дней со дня наступления указанных изменений"
6;"Какие организации обязаны создавать системы управления промышленной безопасностью?";"Все организации, эксплуатирующие опасные производственные объекты;Все юридические лица;trueОрганизации, эксплуатирующие объекты I и II классов опасности;Организации, эксплуатирующие объекты I, II и III классов опасности"
6;"Куда эксплуатирующие организации, подведомственные Ростехнадзору, представляют информацию об организации производственного контроля за соблюдением требований промышленной безопасности?";"В центральный аппарат Ростехнадзора;trueВ Ростехнадзор или его территориальные органы;В вышестоящую организацию или ведомство;В МЧС России"
6;"Кто ведет реестр заключений экспертизы промышленной безопасности?";"trueРостехнадзор и его территориальные органы;Федеральное автономное учреждение «Главное управление государственной экспертизы»;Федеральное агентство по техническому регулированию и метрологии;Федеральная служба по аккредитации"
7;"Что понимается под требованиями промышленной безопасности в соответствии с Федеральным законом от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»?";"Условия, запреты, ограничения и другие обязательные требования, содержащиеся в федеральных законах, соблюдение которых обеспечивает промышленную безопасность;Требования, содержащиеся в нормативных технических документах, принимаемых федеральным органом исполнительной власти, специально уполномоченным в области промышленной безопасности, в рамках его компетенции и по установленным формам;trueУсловия, запреты, ограничения и другие обязательные требования, содержащиеся в Федеральном законе от 21.07.1997 № 116-ФЗ, других федеральных законах и принимаемых в соответствии с ними нормативных правовых актах Президента Российской Федерации, нормативных правовых актах Правительства Российской Федерации, а также федеральных нормах и правилах в области промышленной безопасности;Условия, запреты, ограничения, установленные в нормативных актах, соблюдение которых обеспечивает состояние защищенности жизненно важных интересов личности и общества от аварий на опасных производственных объектах и последствий указанных аварий"
7;"Что из перечисленного не относится к принципам государственной политики в области промышленной безопасности в соответствии с Основами государственной политики в области промышленной безопасности?";"trueВнедрение комплексных систем обеспечения безопасности жизнедеятельности населения;Минимизация влияния человеческого фактора на технологические процессы на промышленных объектах;Снижение технологической или иной зависимости от иностранных государств при обеспечении промышленной безопасности;Внедрение в приоритетном порядке ресурсосберегающих и экологически безопасных технологий, модернизация производства, обновление основных производственных фондов"
7;"В какой форме осуществляется обязательная оценка соответствия зданий и сооружений, а также связанных со зданиями и с сооружениями процессов эксплуатации?";"В форме производственного контроля;В форме государственного строительного надзора и государственного контроля;trueВ форме эксплуатационного и государственного контроля (надзора)"
7;"В какие федеральные органы исполнительной власти заявитель, предполагающий выполнение работ (оказание услуг) при эксплуатации взрывопожароопасных и химически опасных производственных объектов IV класса опасности, должен представлять уведомления о начале осуществления своей деятельности?";"В Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий;В Федеральную службу по надзору в сфере здравоохранения;trueВ Федеральную службу по экологическому, технологическому и атомному надзору и иные федеральные органы исполнительной власти, которым в соответствии с федеральными законами или нормативными правовыми актами Президента Российской Федерации и Правительства Российской Федерации предоставлено право осуществлять отдельные функции в области промышленной безопасности;В Федеральное медико-биологическое агентство;В Федеральное агентство по техническому регулированию и метрологии;В Федеральную службу по труду и занятости"
7;"Кем проводится техническое расследование причин аварии на опасном производственном объекте? ";"Специальной комиссией по расследованию, возглавляемой представителем федерального органа исполнительной власти в области охраны труда;trueСпециальной комиссией по расследованию, возглавляемой представителем Ростехнадзора или его территориального органа;Комиссией по расследованию, возглавляемой либо представителем федерального органа исполнительной власти, специально уполномоченного в области охраны труда, либо представителем федерального органа исполнительной власти в области промышленной безопасности;Комиссией по расследованию, возглавляемой руководителем эксплуатирующей организации, на которой произошла авария, с обязательным участием представителей федерального органа исполнительной власти в области промышленной безопасности"
7;"Какая страховая сумма по договору обязательного страхования установлена для декларируемых опасных объектов?";"trueОт 10 миллионов рублей до 6,5 миллиардов рублей в зависимости от максимально возможного количества потерпевших, жизни и здоровью которых может быть причинен вред в результате аварии на опасном объекте;От 10 миллионов рублей до 50 миллионов рублей в зависимости от отраслевой принадлежности;До 7 миллионов рублей в зависимости от количества опасных объектов"
7;"Внесение каких изменений в государственный реестр осуществляется в срок не превышающий 10 (десяти) рабочих дней с даты регистрации заявления о внесении изменений? Выберите два правильных варианта ответов.
А) Изменение состава опасного производственного объекта, в том числе при изменении количественного и качественного состава технического устройства; технологического процесса; признаков или класса опасности опасного производственного объекта).
Б) Изменение адреса места нахождения опасного производственного объекта.
В) Изменение сведений об эксплуатирующей организации, собственнике опасного производственного объекта и/или сведений, указанных эксплуатирующей организацией в заявлении о регистрации опасного производственного объекта в государственном реестре.
Г) Изменение сведений, связанных с исключением опасного производственного объекта в связи со сменой эксплуатирующей организации.";"А и Б;А и В;А и Г;trueБ и В;Б и Г;В и Г"
7;"Кто устанавливает требования к документационному обеспечению систем управления промышленной безопасностью?";"Ростехнадзор;trueПравительство Российской Федерации;Федеральное агентство по техническому регулированию и метрологии;Федеральная служба по аккредитации"
7;"В каком случае юридическое лицо признается виновным в совершении административного правонарушения?";"trueЕсли будет установлено, что у него имелась возможность для соблюдения правил и норм, за нарушение которых предусмотрена административная ответственность, но им не были приняты все зависящие от него меры по их соблюдению;Если должностное лицо, рассматривающее дело об административном правонарушении, уверено в виновности юридического лица;Если юридическое лицо признало факт совершения административного правонарушения"
